SampleID	SPECIES	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Pct_reads_mapped	Average_Coverage
JEL0728.dipspades_sorted	Terramyces_sp._JEL0728	410	15585454	1014	520119	15109	38013.30	45	101760	171	24051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0728.sorted_shovill	Terramyces_sp._JEL0728	6386	14554257	910	104411	1736	2279.09	1714	2509	5072	1228	29.3	29.0	0.3	29.7	41.0	290	6407082	5454150	85.1	56.2
JEL0728.spades	Terramyces_sp._JEL0728	74965	30108482	78	202660	188	401.63	5103	803	53660	155	NA	NA	NA	NA	NA	NA	6407082	6348277	99.1	31.6
JEL0728.spades_shovill	Terramyces_sp._JEL0728	6387	14558998	1000	104411	1736	2279.47	1715	2509	5074	1228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0728.spades_sorted	Terramyces_sp._JEL0728	4475	14485957	468	202660	2381	3237.09	1039	3994	3330	1558	32.1	32.1	0.0	27.2	40.7	290	6407082	5758652	89.9	59.6
JEL0729.dipspades	Irineochytrium_annulatum_JEL0729	4818	39006381	78	678072	2938	8095.97	425	21075	1925	4539	80.4	76.6	3.8	8.6	11.0	290	20092112	12888835	64.1	49.9
JEL0729.sorted_shovill	Irineochytrium_annulatum_JEL0729	3862	37052737	1000	347630	5091	9594.18	559	17678	2219	4100	81.4	77.6	3.8	7.9	10.7	290	20092112	14445700	71.9	58.9
JEL0729.spades	Irineochytrium_annulatum_JEL0729	14510	42532922	78	678072	208	2931.28	459	20837	2437	2789	NA	NA	NA	NA	NA	NA	20092112	16083205	80.0	57.1
JEL0729.spades_shovill	Irineochytrium_annulatum_JEL0729	3868	40495887	1000	629286	5117	10469.46	475	19857	2144	4359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0729.spades_sorted	Irineochytrium_annulatum_JEL0729	3481	36841590	1000	487796	5391	10583.62	470	20474	1916	4520	81.4	77.6	3.8	8.6	10.0	290	20092112	14346878	71.4	58.8
JEL0754.sorted_shovill	Phlyctochytrium_bullatum_JEL0754	3000	41192331	1001	195298	7108	13730.78	453	26992	1628	6081	67.6	66.6	1.0	12.1	20.3	290	7103232	6657923	93.7	24.2
JEL0754.spades	Phlyctochytrium_bullatum_JEL0754	125569	55964338	77	172241	101	445.69	669	19739	60141	104	NA	NA	NA	NA	NA	NA	7103232	6945243	97.8	18.6
JEL0754.spades_shovill	Phlyctochytrium_bullatum_JEL0754	3000	41199798	1001	195298	7108	13733.27	453	26992	1628	6081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0754.spades_sorted	Phlyctochytrium_bullatum_JEL0754	3230	40192336	954	172241	3967	12443.45	362	33519	1412	5257	66.9	65.5	1.4	12.4	20.7	290	7103232	6298490	88.7	23.4
JEL0764.dipspades	Rhizophlyctis_rosea_JEL0764	2608	47084344	78	262838	5691	18053.81	257	53266	1013	10270	88.6	87.2	1.4	6.2	5.2	290	6218106	5043306	81.1	16.0
JEL0764.dipspades_sorted	Rhizophlyctis_rosea_JEL0764	2122	46860375	1013	262838	9118	22083.12	255	53440	994	10693	88.6	87.2	1.4	6.2	5.2	290	6218106	4877914	78.4	15.6
JEL0764.sorted_shovill	Rhizophlyctis_rosea_JEL0764	2021	46688112	1008	261663	11197	23101.49	274	48673	1004	11376	88.0	86.6	1.4	5.5	6.5	290	6218106	5160884	83.0	16.6
JEL0764.spades	Rhizophlyctis_rosea_JEL0764	52851	54614389	76	450111	97	1033.37	168	87407	3504	324	NA	NA	NA	NA	NA	NA	6218106	5717125	91.9	15.7
JEL0764.spades_shovill	Rhizophlyctis_rosea_JEL0764	2021	46690600	1008	261663	11197	23102.72	274	48673	1004	11376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0764.spades_sorted	Rhizophlyctis_rosea_JEL0764	1457	48149512	1000	450111	8069	33047.02	135	104982	531	19930	91.4	90.0	1.4	4.1	4.5	290	6218106	5027210	80.8	15.6
JEL0774.sorted_shovill	Gonapodya_sp._JEL0774	4735	38389745	1000	521033	2600	8107.65	257	31757	2348	2623	75.1	74.1	1.0	9.7	15.2	290	6446576	6133529	95.1	24.0
JEL0774.spades	Gonapodya_sp._JEL0774	58698	47405100	78	673668	163	807.61	267	17662	23999	194	NA	NA	NA	NA	NA	NA	6446576	6360384	98.7	20.1
JEL0774.spades_shovill	Gonapodya_sp._JEL0774	4735	38389150	1000	521033	2600	8107.53	257	31766	2349	2623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0774.spades_sorted	Gonapodya_sp._JEL0774	4236	35595249	1000	673668	2219	8403.03	113	71677	1938	2410	68.9	67.9	1.0	11.7	19.4	290	6446576	6000770	93.1	25.2
JEL0797.dipspades	Podochytrium_sp._JEL0797	2960	32262187	500	171600	5822	10899.39	414	20758	1648	4840	84.8	73.4	11.4	5.2	10.0	290	6375098	5428617	85.2	25.1
JEL0797.dipspades_sorted	Podochytrium_sp._JEL0797	2800	32060568	1001	171620	6258	11450.20	411	20738	1626	4910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0797.sorted_shovill	Podochytrium_sp._JEL0797	4257	37221421	1000	134640	5071	8743.58	672	15110	2551	3798	87.2	74.1	13.1	6.6	6.2	290	6375098	6095282	95.6	24.5
JEL0797.spades	Podochytrium_sp._JEL0797	86581	49589762	77	111292	155	572.76	1557	5483	40277	155	NA	NA	NA	NA	NA	NA	6375098	6143407	96.4	18.5
JEL0797.spades_shovill	Podochytrium_sp._JEL0797	4257	37234571	1000	134640	5067	8746.67	672	15110	2552	3798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0797.spades_sorted	Podochytrium_sp._JEL0797	6033	34922178	837	111292	2503	5788.53	673	12781	3595	2054	79.7	66.6	13.1	10.7	9.6	290	6375098	5457284	85.6	23.4
JEL0801.dipspades	Unknown_Rhizophydiales_JEL0801	2116	16458282	79	277103	1478	7778.02	109	42443	586	2956	23.4	22.4	1.0	17.9	58.7	290	5218378	3748237	71.8	34.0
JEL0801.dipspades_sorted	Unknown_Rhizophydiales_JEL0801	1339	16104292	1002	277057	2517	12027.10	105	42882	495	3724	NA	NA	NA	NA	NA	NA	5218378	3629243	69.5	33.7
JEL0801.sorted_shovill	Unknown_Rhizophydiales_JEL0801	5430	23286447	907	56209	2618	4288.48	968	6599	3665	1780	25.8	25.5	0.3	26.9	47.3	290	5218378	4773735	91.5	30.7
JEL0801.spades	Unknown_Rhizophydiales_JEL0801	118158	41561125	78	43998	175	351.74	14189	601	85312	155	NA	NA	NA	NA	NA	NA	5218378	5167259	99.0	18.6
JEL0801.spades_shovill	Unknown_Rhizophydiales_JEL0801	5430	23295513	1000	56209	2621	4290.15	968	6599	3666	1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0801.spades_sorted	Unknown_Rhizophydiales_JEL0801	8440	16295785	919	43998	1601	1930.78	2659	2007	6933	1171	7.9	7.9	0.0	22.8	69.3	290	5218378	3730931	71.5	34.3
JEL0829.dipspades	Kappamyces_sp._JEL0829	474	11732990	78	318631	4614	24753.14	38	100276	146	17378	41.7	41.0	0.7	17.2	41.1	290	5881026	4454320	75.7	56.8
JEL0829.dipspades_sorted	Kappamyces_sp._JEL0829	365	11696060	1044	318631	8715	32044.00	39	100276	146	17643	NA	NA	NA	NA	NA	NA	5881026	4375176	74.4	56.1
JEL0829.sorted_shovill	Kappamyces_sp._JEL0829	475	14942554	1004	444546	7748	31458.01	44	93320	176	18034	52.7	52.4	0.3	21.0	26.3	290	5881026	5719284	97.2	57.4
JEL0829.spades	Kappamyces_sp._JEL0829	6468	15777765	72	373068	155	2439.36	66	61244	372	4377	NA	NA	NA	NA	NA	NA	5881026	5824476	99.0	55.3
JEL0829.spades_shovill	Kappamyces_sp._JEL0829	475	14942602	1004	444546	7748	31458.11	44	93320	176	18034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0829.spades_sorted	Kappamyces_sp._JEL0829	656	14757821	1002	318470	6340	22496.68	59	71674	252	12257	51.7	51.4	0.3	22.4	25.9	290	5881026	5653459	96.1	57.4
JEL0837.dipspades	Blyttiomyces_sp._JEL0837	11784	42982182	79	136825	1817	3647.50	1388	7512	5906	1813	69.0	66.6	2.4	10.7	20.3	290	3111048	2465845	79.3	8.6
JEL0837.dipspades_sorted	Blyttiomyces_sp._JEL0837	7636	41050512	1000	136811	3290	5375.92	1264	7898	5067	2323	67.9	65.5	2.4	10.7	21.4	290	3111048	2359728	75.8	8.6
JEL0837.sorted_shovill	Blyttiomyces_sp._JEL0837	850	15970519	1019	157617	10845	18788.85	135	34457	462	9296	27.5	27.2	0.3	2.4	70.1	290	3111048	1749428	56.2	16.4
JEL0837.spades	Blyttiomyces_sp._JEL0837	71076	57025521	73	302606	139	802.32	1524	9726	20693	173	NA	NA	NA	NA	NA	NA	3111048	3054583	98.2	8.0
JEL0837.spades_shovill	Blyttiomyces_sp._JEL0837	850	15974290	1019	157606	10845	18793.28	135	34460	462	9309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0837.spades_sorted	Blyttiomyces_sp._JEL0837	6591	46468325	975	302252	3955	7050.27	1047	12527	3915	2954	79.0	76.6	2.4	10.0	11.0	290	3111048	2750500	88.4	8.9
JEL0838.dipspades	Boothiomyces_sp._JEL0838	581	12939220	88	625471	1168	22270.60	35	115862	115	29711	35.5	34.5	1.0	15.9	48.6	290	6146126	4383037	71.3	50.8
JEL0838.dipspades_sorted	Boothiomyces_sp._JEL0838	305	12849375	1000	625471	9688	42129.10	34	116125	112	31131	35.5	34.5	1.0	15.9	48.6	290	6146126	4291078	69.8	50.1
JEL0838.sorted_shovill	Boothiomyces_sp._JEL0838	627	16546783	1003	410271	11156	26390.40	73	65310	285	14187	45.5	45.5	0.0	21.7	32.8	290	6146126	5936021	96.6	53.8
JEL0838.spades	Boothiomyces_sp._JEL0838	27929	20437194	78	356849	155	731.76	583	6778	13340	155	NA	NA	NA	NA	NA	NA	6146126	6080291	98.9	44.6
JEL0838.spades_shovill	Boothiomyces_sp._JEL0838	627	16546980	1003	410271	11156	26390.72	73	65310	285	14187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0838.spades_sorted	Boothiomyces_sp._JEL0838	2646	14871928	1000	356849	2010	5620.53	274	12065	1460	1746	34.8	34.8	0.0	22.1	43.1	290	6146126	5344465	87.0	53.9
JEL0842.dipspades	Unknown_Chytridiales_JEL0842	1208	26251670	78	274865	4059	21731.51	130	62867	415	18856	89.0	85.9	3.1	3.1	7.9	290	5711986	5092823	89.2	28.9
JEL0842.dipspades_sorted	Unknown_Chytridiales_JEL0842	863	26120126	948	274865	17421	30266.66	129	63107	411	19010	89.3	86.2	3.1	2.8	7.9	290	5711986	4846904	84.9	27.7
JEL0842.sorted_shovill	Unknown_Chytridiales_JEL0842	2043	28081220	974	299913	2939	13745.09	146	53500	744	4991	90.4	88.3	2.1	4.5	5.1	290	5711986	5257195	92.0	27.9
JEL0842.spades	Unknown_Chytridiales_JEL0842	33209	32936670	74	355561	155	991.80	150	56901	8621	228	NA	NA	NA	NA	NA	NA	5711986	5530979	96.8	25.1
JEL0842.spades_shovill	Unknown_Chytridiales_JEL0842	2042	28082871	1002	299913	2937	13752.63	146	53500	743	4991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0842.spades_sorted	Unknown_Chytridiales_JEL0842	2018	26948520	1000	355561	2262	13354.07	105	72085	603	3977	86.9	85.2	1.7	6.6	6.5	290	5711986	5007611	87.7	27.8
JEL0866.dipspades	Boothiomyces_sp._JEL0866	632	14328690	80	476773	1456	22671.98	36	114768	126	30162	36.9	36.6	0.3	18.6	44.5	290	7759922	5919224	76.3	61.9
JEL0866.dipspades_sorted	Boothiomyces_sp._JEL0866	370	14241334	887	476773	6156	38490.09	36	114768	124	32154	36.9	36.6	0.3	18.6	44.5	290	7759922	5877912	75.7	61.9
JEL0866.sorted_shovill	Boothiomyces_sp._JEL0866	628	17758440	1001	480332	10364	28277.77	68	71615	273	13121	45.5	45.5	0.0	22.1	32.4	290	7759922	7651059	98.6	64.6
JEL0866.spades	Boothiomyces_sp._JEL0866	32319	22191872	78	297061	155	686.65	937	4500	16854	155	NA	NA	NA	NA	NA	NA	7759922	7737040	99.7	52.3
JEL0866.spades_shovill	Boothiomyces_sp._JEL0866	627	17758665	1001	480362	10364	28323.23	67	74175	272	13133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0866.spades_sorted	Boothiomyces_sp._JEL0866	3401	15727958	631	297061	1924	4624.51	412	9263	2075	1527	33.8	33.8	0.0	27.6	38.6	290	7759922	6812327	87.8	65.0
JEL0888.dipspades	Unknown_unknown_JEL0888	6167	24221652	80	156488	556	3927.62	460	13998	1992	2579	78.9	78.6	0.3	6.9	14.2	290	18947898	14927659	78.8	93.1
JEL0888.sorted_shovill	Unknown_unknown_JEL0888	3823	23459731	1002	101264	3473	6136.47	611	10676	2399	2513	83.8	83.8	0.0	6.2	10.0	290	18947898	16839268	88.9	108.4
JEL0888.spades	Unknown_unknown_JEL0888	30998	28177751	78	86585	149	909.02	817	8744	8201	237	NA	NA	NA	NA	NA	NA	18947898	17867206	94.3	95.7
JEL0888.spades_shovill	Unknown_unknown_JEL0888	3822	23462068	1002	101264	3477	6138.69	611	10676	2398	2511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0888.spades_sorted	Unknown_unknown_JEL0888	3490	23308959	1000	88727	3903	6678.78	575	11652	2167	2823	82.4	82.1	0.3	6.9	10.7	290	18947898	16447547	86.8	106.6
JEL0916.dipspades	Quaeritorhiza_haematococci_JEL0916	24032	53856913	82	116617	490	2241.05	1386	9583	9195	753	80.0	78.3	1.7	11.0	9.0	290	47878986	30225955	63.1	84.7
JEL0916.dipspades_sorted	Quaeritorhiza_haematococci_JEL0916	7388	46757803	1000	116617	3308	6328.89	1054	11947	4466	2507	80.4	78.3	2.1	10.3	9.3	290	47878986	29051959	60.7	93.8
JEL0916.sorted_shovill	Quaeritorhiza_haematococci_JEL0916	7995	47137368	999	87071	3201	5895.86	1204	10487	4975	2365	84.5	82.4	2.1	7.6	7.9	290	47878986	33711943	70.4	108.0
JEL0916.spades	Quaeritorhiza_haematococci_JEL0916	48980	58095867	72	106668	173	1186.11	1594	8610	13367	461	NA	NA	NA	NA	NA	NA	47878986	42308448	88.4	110.0
JEL0916.spades_shovill	Quaeritorhiza_haematococci_JEL0916	7994	47135935	1000	87071	3201	5896.41	1204	10487	4974	2365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0916.spades_sorted	Quaeritorhiza_haematococci_JEL0916	7824	48216321	948	106668	3172	6162.62	1101	11770	4710	2386	84.5	82.4	2.1	7.9	7.6	290	47878986	34584053	72.2	108.3
JEL0917.dipspades	Rhizoclosmatium_hyalinum_JEL0917	3468	29872816	78	228389	1400	8613.85	258	33560	1002	6032	82.1	73.8	8.3	2.4	15.5	290	4479676	3630517	81.0	18.2
JEL0917.dipspades_sorted	Rhizoclosmatium_hyalinum_JEL0917	1981	29212124	434	228409	6114	14746.15	249	33877	919	7374	81.4	73.8	7.6	3.1	15.5	290	4479676	3491059	77.9	17.9
JEL0917.sorted_shovill	Rhizoclosmatium_hyalinum_JEL0917	1114	28595223	1013	399415	10831	25668.96	144	58725	502	13767	79.0	76.2	2.8	4.1	16.9	290	4479676	4217314	94.1	22.1
JEL0917.spades	Rhizoclosmatium_hyalinum_JEL0917	160466	55987646	78	120607	161	348.91	15235	654	110801	155	NA	NA	NA	NA	NA	NA	4479676	4363257	97.4	11.7
JEL0917.spades_shovill	Rhizoclosmatium_hyalinum_JEL0917	1114	28600648	1013	399454	10831	25673.83	144	58729	502	13726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0917.spades_sorted	Rhizoclosmatium_hyalinum_JEL0917	9669	23450088	995	120607	1649	2425.29	2086	2546	7541	1217	41.7	40.7	1.0	22.1	36.2	290	4479676	2887254	64.5	18.4
KLL_TL_06062013.sorted_shovill	Dinochytrium_kinnereticum_KLL_TL_06062013	2027	32634335	1006	266223	6410	16099.82	252	39558	984	6751	81.7	80.7	1.0	6.2	12.1	290	5697612	5306870	93.1	24.3
KLL_TL_06062013.spades	Dinochytrium_kinnereticum_KLL_TL_06062013	92025	44997824	75	274170	123	488.97	496	14606	43763	129	NA	NA	NA	NA	NA	NA	5697612	5510104	96.7	18.3
KLL_TL_06062013.spades_shovill	Dinochytrium_kinnereticum_KLL_TL_06062013	2027	32637222	1006	266222	6412	16101.24	252	39595	984	6751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KLL_TL_06062013.spades_sorted	Dinochytrium_kinnereticum_KLL_TL_06062013	3354	31510542	512	274170	2406	9394.91	220	39098	1451	2956	76.9	75.2	1.7	9.0	14.1	290	5697612	4903354	86.1	23.2
PLAUS21.dipspades	Boothiomyces_macroporosum_PLAUS21	2767	16365413	78	400912	261	5914.50	47	102143	183	19409	41.0	39.3	1.7	20.3	38.7	290	64702522	49748422	76.9	459.0
PLAUS21.dipspades_sorted	Boothiomyces_macroporosum_PLAUS21	375	15700521	1006	400918	18477	41868.06	44	109397	157	24664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAUS21.sorted_shovill	Boothiomyces_macroporosum_PLAUS21	1684	16284669	1000	291789	4316	9670.23	197	20078	894	3922	44.1	44.1	0.0	22.4	33.5	290	64702522	53162937	82.2	493.0
PLAUS21.spades	Boothiomyces_macroporosum_PLAUS21	55694	24661797	76	314565	156	442.81	4605	918	37963	155	NA	NA	NA	NA	NA	NA	64702522	56234596	86.9	344.3
PLAUS21.spades_shovill	Boothiomyces_macroporosum_PLAUS21	1683	16284491	1000	291789	4316	9675.87	197	20078	894	3922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAUS21.spades_sorted	Boothiomyces_macroporosum_PLAUS21	4052	11833198	1000	314565	1563	2920.34	483	3492	2974	1223	23.1	23.1	0.0	22.8	54.1	290	64702522	39374752	60.9	502.4
WJD170.dipspades	Borealophlyctis_nickersoniae_WJD170	5692	38019887	78	109222	2816	6679.53	660	16237	2595	3434	87.2	84.8	2.4	3.4	9.4	290	13940836	10828652	77.7	43.0
WJD170.sorted_shovill	Borealophlyctis_nickersoniae_WJD170	4968	39660635	1001	109444	4301	7983.22	739	15176	2911	3375	87.2	84.8	2.4	3.4	9.4	290	13940836	11707625	84.0	44.6
WJD170.spades	Borealophlyctis_nickersoniae_WJD170	50176	45374982	78	109222	114	904.32	912	12826	10528	235	NA	NA	NA	NA	NA	NA	13940836	12017020	86.2	40.0
WJD170.spades_shovill	Borealophlyctis_nickersoniae_WJD170	4968	39661826	1001	109444	4299	7983.46	739	15176	2911	3377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WJD170.spades_sorted	Borealophlyctis_nickersoniae_WJD170	4487	38361113	746	109222	4607	8549.39	668	16159	2592	3638	87.2	84.8	2.4	3.1	9.7	290	13940836	11424795	82.0	45.0
